cityName,bedrooms,month,Final_Price_Index,Final_Quantity_Index
Mumbai,1-BHK,2019-07-01,109.08,125.5076174
Mumbai,1-BHK,2019-08-01,109.92,104.8032884
Mumbai,1-BHK,2019-09-01,110.05,98.19503823
Mumbai,1-BHK,2019-10-01,110.27,112.9072619
Mumbai,1-BHK,2019-11-01,109.82,107.010904
Mumbai,1-BHK,2019-12-01,110.51,97.36112714
Mumbai,1-BHK,2020-01-01,109.87,127.539924
Mumbai,1-BHK,2020-02-01,110.23,100.0516884
Mumbai,1-BHK,2020-03-01,110.44,90.26512724
Mumbai,1-BHK,2020-04-01,109.82,13.72915392
Mumbai,1-BHK,2020-05-01,110.13,21.32861611
Mumbai,1-BHK,2020-06-01,110.62,24.12827927
Mumbai,1-BHK,2020-07-01,110.72,37.77510924
Mumbai,1-BHK,2020-08-01,110.52,33.21508736
Mumbai,1-BHK,2020-09-01,111.42,33.2454963
Mumbai,1-BHK,2020-10-01,111.59,97.44237089
Mumbai,1-BHK,2020-11-01,112.19,86.44460295
Mumbai,1-BHK,2020-12-01,111.87,62.54799895
NCR,1-BHK,2017-01-01,100.0,100.0
NCR,1-BHK,2017-02-01,99.53,128.7606661
NCR,1-BHK,2017-03-01,99.64,142.0531885
NCR,1-BHK,2017-04-01,98.73,193.6890641
NCR,1-BHK,2017-05-01,98.74,163.1443295
NCR,1-BHK,2017-06-01,98.26,161.618648
NCR,1-BHK,2017-07-01,98.65,190.4037369
NCR,1-BHK,2017-08-01,98.87,173.8597387
NCR,1-BHK,2017-09-01,97.82,235.4645147
NCR,1-BHK,2017-10-01,98.22,180.1386189
NCR,1-BHK,2017-11-01,97.84,186.9184082
NCR,1-BHK,2017-12-01,98.16,195.2685727
NCR,1-BHK,2018-01-01,97.98,346.4442618
NCR,1-BHK,2018-02-01,98.43,196.0823366
NCR,1-BHK,2018-03-01,97.96,245.6227527
NCR,1-BHK,2018-04-01,98.0,235.2164768
NCR,1-BHK,2018-05-01,98.11,190.7704679
NCR,1-BHK,2018-06-01,98.19,190.1698182
NCR,1-BHK,2018-07-01,97.88,706.0935571
NCR,1-BHK,2018-08-01,97.7,329.5534544
NCR,1-BHK,2018-09-01,97.78,326.4751107
NCR,1-BHK,2018-10-01,97.33,284.9062822
NCR,1-BHK,2018-11-01,97.36,317.8531654
NCR,1-BHK,2018-12-01,97.65,264.6568807
NCR,1-BHK,2019-01-01,101.67,274.935382
NCR,1-BHK,2019-02-01,101.44,342.190315
NCR,1-BHK,2019-03-01,101.69,272.9036692
NCR,1-BHK,2019-04-01,101.55,260.7028992
NCR,1-BHK,2019-05-01,101.27,275.8679557
NCR,1-BHK,2019-06-01,101.5,200.9977856
NCR,1-BHK,2019-07-01,101.0,356.9529776
NCR,1-BHK,2019-08-01,109.56,278.6028158
NCR,1-BHK,2019-09-01,110.42,224.498393
NCR,1-BHK,2019-10-01,110.27,268.8030446
NCR,1-BHK,2019-11-01,110.58,241.4918675
NCR,1-BHK,2019-12-01,110.27,217.3085356
NCR,1-BHK,2020-01-01,109.85,248.2303849
NCR,1-BHK,2020-02-01,110.62,370.0438184
NCR,1-BHK,2020-03-01,110.04,128.9548344
NCR,1-BHK,2020-04-01,110.55,22.02960736
NCR,1-BHK,2020-05-01,110.46,33.45346948
NCR,1-BHK,2020-06-01,110.36,38.42408296
NCR,1-BHK,2020-07-01,112.55,92.04219943
NCR,1-BHK,2020-08-01,113.39,83.21173561
NCR,1-BHK,2020-09-01,112.62,75.52752588
